patient_id,full_name,ssn,department,diagnosis,treatment_cost,admitted_date
PT-1025,Kyle Mcdaniel,807-82-6574,Cardiology,Type 2 Diabetes,2694.49,2026-06-28
PT-1026,Kevin Stevens,812-33-5306,Radiology,Fracture,8807.4,2026-05-12
PT-1027,Amanda Harris,098-42-8731,Pediatrics,Migraine,6785.51,2026-06-17
PT-1028,Tamara Evans,513-03-3150,Oncology,Migraine,5808.5,2026-03-30
PT-1029,Stephanie Eaton,095-31-8986,Radiology,Migraine,12119.58,2026-05-26
PT-1030,Michelle Long,763-70-4956,Oncology,Hypertension,9649.84,2026-07-13
PT-1031,Sarah Hamilton,184-48-3883,Oncology,Hypertension,4232.84,2026-06-17
PT-1032,Scott Morales,469-19-8418,Radiology,Fracture,9794.95,2026-01-09
PT-1033,Chris Smith,623-45-6980,Radiology,Hypertension,7391.24,2026-03-13
PT-1034,Paul Schaefer,078-59-1607,Oncology,Asthma,545.63,2026-01-13
PT-1035,Charles Miller,852-57-2653,Cardiology,Fracture,4288.84,2026-06-01
PT-1036,Jody Martinez,687-73-3799,Pediatrics,Type 2 Diabetes,11119.75,2026-09-14
PT-1037,Nicole Young,028-89-8968,Oncology,Asthma,6530.32,2026-05-29
PT-1038,Stephanie Wells,588-79-1831,Oncology,Migraine,10480.86,2026-08-03
PT-1039,Daniel Hopkins,761-57-6045,Cardiology,Migraine,466.65,2026-08-15
PT-1040,Katrina Brown,599-01-1084,Pediatrics,Asthma,13429.43,2026-03-07
PT-1041,Ashley Wolfe,023-89-7062,Cardiology,Asthma,10230.18,2026-09-04
PT-1042,Sierra Dyer,395-28-0998,Oncology,Asthma,9884.85,2026-08-26
PT-1043,Brian Ewing,197-16-9742,Radiology,Type 2 Diabetes,5511.42,2026-02-09
PT-1044,Robert Clark,159-03-0896,Pediatrics,Fracture,1716.49,2026-05-25
PT-1045,Kevin Long,392-74-8455,Radiology,Fracture,10035.24,2026-06-08
PT-1046,Melissa Smith,588-07-7704,Radiology,Type 2 Diabetes,2406.02,2026-07-31
PT-1047,Kimberly Barnett,727-98-1034,Radiology,Asthma,8537.59,2026-06-23
PT-1048,Janet Harrison,316-73-5992,Oncology,Asthma,9681.07,2026-02-10
PT-1049,Courtney Gray,459-16-5116,Cardiology,Migraine,4365.09,2026-07-05
PT-1050,Jamie Johnson,567-15-0787,Radiology,Migraine,3440.58,2026-07-28
PT-1051,Kathryn Nguyen,137-99-0233,Cardiology,Migraine,10008.03,2026-08-02
PT-1052,Tracy Smith,056-60-9952,Cardiology,Hypertension,9438.44,2026-03-12
PT-1053,Cynthia Duran,211-53-6556,Cardiology,Asthma,12920.52,2026-05-10
PT-1054,Jennifer Lawson,394-84-6210,Radiology,Hypertension,4928.09,2026-05-06
PT-1055,Jeremiah Scott,743-01-8600,Cardiology,Migraine,350.81,2026-06-21
PT-1056,Raymond Phillips,318-42-5861,Oncology,Asthma,6391.32,2026-06-28
PT-1057,Lisa King,607-71-1837,Oncology,Asthma,8153.81,2026-02-13
PT-1058,Scott White,748-86-2755,Oncology,Hypertension,1618.97,2026-07-25
PT-1059,Annette Guerra DDS,330-60-8405,Oncology,Hypertension,7239.11,2026-03-18
PT-1060,Keith Gonzalez,189-88-4216,Pediatrics,Migraine,13151.71,2026-01-31
PT-1061,Ryan Hubbard,626-99-5741,Oncology,Fracture,1328.45,2026-03-23
PT-1062,Whitney Hamilton,594-05-8518,Radiology,Asthma,7646.54,2026-03-17
PT-1063,Kim Lloyd,092-68-5183,Cardiology,Migraine,11568.05,2026-03-26
PT-1064,Jessica Roman,096-74-6425,Pediatrics,Migraine,12155.46,2026-07-01
PT-1065,Joshua Brown,402-08-1302,Cardiology,Hypertension,2072.65,2026-01-14
PT-1066,Lauren Pena,037-53-9498,Oncology,Type 2 Diabetes,12471.2,2026-04-12
PT-1067,Rebecca Williams,800-94-7500,Oncology,Asthma,14350.02,2026-07-10
PT-1068,Brooke Hughes,278-62-1656,Oncology,Asthma,7992.76,2026-03-03
PT-1069,Alexander Garcia,257-46-4273,Cardiology,Fracture,11941.61,2026-04-04
PT-1070,Crystal Brown,735-03-0665,Cardiology,Type 2 Diabetes,2861.33,2026-04-04
PT-1071,Larry Johnson,411-99-0549,Cardiology,Hypertension,5196.29,2026-01-21
PT-1072,Danielle Larson,312-72-5708,Pediatrics,Fracture,2038.0,2026-03-28
PT-1073,Sara Giles,014-50-5366,Cardiology,Hypertension,3657.52,2026-03-08
PT-1074,Jacob Rodriguez,250-27-6149,Cardiology,Asthma,1291.37,2026-02-06
PT-1075,Jonathan Gonzalez,054-06-0779,Cardiology,Type 2 Diabetes,4293.68,2026-02-27
PT-1076,Christian Stewart,661-06-9809,Radiology,Hypertension,6795.01,2026-08-31
PT-1077,Colleen Le,698-34-8829,Radiology,Migraine,8251.51,2026-04-19
PT-1078,Jerry Robinson,733-05-1740,Radiology,Type 2 Diabetes,2094.65,2026-04-22
PT-1079,Shawn Smith,855-26-8857,Cardiology,Fracture,14806.63,2026-03-18
PT-1080,Sarah Conner,565-98-3348,Radiology,Type 2 Diabetes,563.66,2026-04-11
PT-1081,Christine Osborne,582-70-9811,Oncology,Type 2 Diabetes,12034.57,2026-07-07
PT-1082,Megan Fernandez,204-21-5838,Radiology,Fracture,11666.79,2026-01-18
PT-1083,Samantha Curry,447-26-8840,Radiology,Migraine,2151.95,2026-07-21
PT-1084,Jennifer Scott,712-46-4465,Pediatrics,Hypertension,5520.41,2026-09-08
PT-1085,Mary Roberts,832-34-1573,Radiology,Asthma,1597.84,2026-05-17
PT-1086,Sandra Black,269-09-7735,Oncology,Type 2 Diabetes,7834.39,2026-06-25
PT-1087,Natalie Duncan,222-30-4260,Oncology,Hypertension,10205.73,2026-04-27
PT-1088,Sarah Jackson,705-66-0340,Cardiology,Type 2 Diabetes,11688.84,2026-08-04
PT-1089,Allen Lawrence,737-75-4586,Oncology,Hypertension,10128.66,2026-07-30
PT-1090,Stephen Montes,321-37-5810,Radiology,Hypertension,6379.72,2026-01-05
PT-1091,Christopher Hernandez,681-85-2695,Radiology,Migraine,8260.43,2026-01-27
PT-1092,Franklin Cameron MD,714-05-7890,Cardiology,Asthma,11442.73,2026-07-10
PT-1093,Thomas Brewer,258-60-7371,Radiology,Migraine,880.74,2026-02-25
PT-1094,Michele Ross,489-29-7833,Pediatrics,Fracture,11923.34,2026-08-09
PT-1095,Marie Santos,551-89-4496,Oncology,Type 2 Diabetes,2052.29,2026-04-08
PT-1096,Teresa Rojas,775-89-1858,Radiology,Asthma,3162.24,2026-03-17
PT-1097,Jenny Burgess MD,085-65-4034,Radiology,Type 2 Diabetes,9840.79,2026-03-13
PT-1098,Anthony Pruitt,312-85-6396,Cardiology,Fracture,12454.75,2026-06-01
PT-1099,Anthony Jimenez,294-18-0168,Radiology,Asthma,12678.57,2026-09-09
PT-1100,Marco Craig,853-76-3742,Cardiology,Asthma,3435.71,2026-01-06
PT-1101,Charlene Fisher,888-61-6925,Oncology,Fracture,1127.48,2026-07-24
PT-1102,Leslie Page,579-63-5366,Pediatrics,Type 2 Diabetes,3619.3,2026-08-03
PT-1103,Brian Gibbs,238-81-3261,Oncology,Fracture,10035.24,2026-03-04
PT-1104,George Sandoval,612-32-3147,Cardiology,Type 2 Diabetes,5194.82,2026-06-12
PT-1105,Stacie Hansen,061-35-9498,Oncology,Hypertension,999.66,2026-03-16
PT-1106,Dr. Karen Rogers,291-79-6455,Radiology,Asthma,3373.36,2026-01-10
PT-1107,Crystal Rodriguez,203-76-5385,Oncology,Type 2 Diabetes,10256.91,2026-06-18
PT-1108,Michaela Mcdowell,274-15-0372,Radiology,Type 2 Diabetes,471.77,2026-08-03
PT-1109,Lynn Morrison,791-67-5629,Oncology,Fracture,12908.02,2026-07-22
PT-1110,Thomas Rogers,745-51-0273,Oncology,Asthma,7962.85,2026-04-16
PT-1111,Pedro Johnson,512-06-5248,Oncology,Asthma,6375.31,2026-02-23
PT-1112,Shannon Price,008-17-4802,Radiology,Type 2 Diabetes,6539.99,2026-08-28
PT-1113,Jessica Simmons,443-12-3790,Radiology,Fracture,5090.3,2026-06-18
PT-1114,Tammy Sanders,744-83-5417,Oncology,Fracture,10239.1,2026-06-13
PT-1115,Denise Solomon,580-87-6205,Oncology,Fracture,8906.11,2026-03-26
PT-1116,Jason Cook,793-25-5291,Pediatrics,Migraine,13721.81,2026-06-26
PT-1117,Raymond Pruitt Jr.,294-53-4874,Pediatrics,Asthma,2665.06,2026-04-10
PT-1118,Amanda Stevenson,344-89-5364,Oncology,Fracture,12842.75,2026-04-26
PT-1119,Andrea Davis,522-46-5400,Cardiology,Fracture,10579.88,2026-09-09
PT-1120,Shannon Smith,269-55-7487,Radiology,Asthma,11828.26,2026-06-03
PT-1121,Jeffrey Palmer,857-44-3126,Pediatrics,Asthma,11903.98,2026-03-28
PT-1122,Christy Powell,346-46-5910,Pediatrics,Hypertension,13857.76,2026-04-07
PT-1123,Wendy Li,836-44-6707,Oncology,Hypertension,12841.25,2026-02-12
PT-1124,Ryan Webb,879-15-7837,Radiology,Type 2 Diabetes,14911.03,2026-08-25
PT-1125,Jennifer Carr,870-25-3207,Pediatrics,Asthma,11885.96,2026-04-02
PT-1126,Casey Barker,048-35-2552,Radiology,Type 2 Diabetes,4346.05,2026-03-30
PT-1127,Timothy Richards,524-51-1042,Cardiology,Fracture,14461.43,2026-05-05
PT-1128,Carrie Love,082-46-0530,Cardiology,Asthma,1994.23,2026-06-16
PT-1129,Harold Mcclain,557-23-0836,Radiology,Hypertension,6907.2,2026-03-04
PT-1130,Raymond Hayden,144-37-4799,Radiology,Fracture,2588.91,2026-09-02
PT-1131,James Richardson,145-26-9009,Pediatrics,Fracture,2818.27,2026-03-26
PT-1132,Tina Boyd,759-21-3276,Radiology,Migraine,5806.41,2026-07-21
PT-1133,Meagan Dyer,372-12-0016,Oncology,Hypertension,603.46,2026-07-23
PT-1134,John Harris,517-18-1349,Radiology,Asthma,831.57,2026-05-30
PT-1135,Leslie Hart,156-77-0394,Pediatrics,Fracture,8919.37,2026-02-08
PT-1136,Jonathan Miller,417-87-6545,Pediatrics,Migraine,2454.64,2026-03-10
PT-1137,Brittany Lopez MD,155-95-0039,Cardiology,Type 2 Diabetes,14110.6,2026-05-18
PT-1138,Lydia Franklin,522-33-9500,Oncology,Type 2 Diabetes,13745.75,2026-09-08
PT-1139,Courtney Murphy,335-24-7524,Pediatrics,Type 2 Diabetes,4470.83,2026-05-26
PT-1140,Gary Gomez,703-04-1195,Cardiology,Fracture,10837.37,2026-08-15
PT-1141,Stephen Jackson,302-47-3597,Oncology,Asthma,704.08,2026-04-24
PT-1142,Ronald Smith,899-54-6350,Pediatrics,Type 2 Diabetes,3450.93,2026-05-02
PT-1143,Madison Mathis,836-70-3365,Radiology,Asthma,4821.36,2026-03-24
PT-1144,Katherine Kane,416-62-7309,Oncology,Asthma,12807.41,2026-01-12
PT-1145,Kelly Curry,265-34-0701,Oncology,Fracture,5356.1,2026-05-25
PT-1146,Ricardo Pope,692-86-3054,Pediatrics,Fracture,9389.82,2026-08-14
PT-1147,Joshua Lopez,755-67-6278,Radiology,Type 2 Diabetes,2140.86,2026-07-27
PT-1148,Zoe Carpenter,406-81-8106,Pediatrics,Migraine,12329.08,2026-03-03
PT-1149,Robert Cruz,480-17-6648,Cardiology,Hypertension,9340.35,2026-08-07
PT-1150,Whitney Ortiz,641-03-0178,Radiology,Hypertension,4979.85,2026-04-05
PT-1151,Evan Garcia,005-91-1677,Radiology,Migraine,3674.98,2026-01-13
PT-1152,Anthony Bartlett,126-46-6660,Radiology,Fracture,14523.07,2026-05-11
PT-1153,Michelle Harmon,498-89-2127,Radiology,Type 2 Diabetes,5694.67,2026-01-03
PT-1154,Jeffrey Elliott,848-22-4443,Radiology,Asthma,12814.64,2026-02-26
PT-1155,Nicole Bennett,574-27-8567,Oncology,Asthma,10420.37,2026-07-05
PT-1156,Lauren James,579-17-4846,Oncology,Migraine,387.32,2026-04-11
PT-1157,Whitney Matthews,433-02-1680,Radiology,Asthma,3411.42,2026-04-14
PT-1158,Tamara Harrington,244-94-2573,Pediatrics,Type 2 Diabetes,4706.55,2026-02-05
PT-1159,Rebecca Hebert,540-88-6079,Cardiology,Hypertension,973.46,2026-04-22
PT-1160,Kelsey Maxwell,782-38-7437,Pediatrics,Fracture,14717.47,2026-03-03
PT-1161,Tiffany Jackson MD,623-67-3270,Cardiology,Asthma,8370.84,2026-05-03
PT-1162,Jessica Browning,351-26-9435,Oncology,Migraine,7426.17,2026-09-13
PT-1163,Charles Brown,726-70-5379,Oncology,Migraine,2828.19,2026-04-09
PT-1164,Katherine Thomas,733-82-2020,Pediatrics,Type 2 Diabetes,7157.64,2026-08-10
PT-1165,Robert Young,810-70-1782,Radiology,Migraine,9863.4,2026-04-10
PT-1166,Aaron Black,652-22-6904,Cardiology,Hypertension,8235.46,2026-08-27
PT-1167,Vicki Collins,089-32-6795,Radiology,Asthma,8563.48,2026-07-09
PT-1168,Eric Warren,271-71-8093,Cardiology,Migraine,1108.73,2026-08-11
PT-1169,Ann Thompson,342-45-1094,Radiology,Migraine,595.49,2026-02-08
PT-1170,Nancy Watts,752-23-0213,Cardiology,Hypertension,12080.76,2026-02-19
PT-1171,Evelyn Reyes,188-45-2037,Cardiology,Asthma,5369.43,2026-07-26
PT-1172,Jessica Parker,293-88-5935,Radiology,Asthma,814.91,2026-05-16
PT-1173,Gail Poole,678-62-5299,Oncology,Migraine,8544.47,2026-07-01
PT-1174,Misty Knight,288-53-9873,Oncology,Type 2 Diabetes,11770.47,2026-01-15
PT-1175,Aaron Holland,594-69-9025,Radiology,Asthma,8620.01,2026-04-22
PT-1176,Troy Garcia,368-88-5513,Radiology,Hypertension,9534.08,2026-03-02
PT-1177,Veronica Brandt,459-96-9872,Pediatrics,Type 2 Diabetes,10893.51,2026-05-31
PT-1178,Robert Harris,504-53-9677,Radiology,Migraine,12878.22,2026-07-04
PT-1179,Erica Martin,881-72-2680,Pediatrics,Migraine,13274.24,2026-03-08
PT-1180,Jason Oconnor,145-83-3309,Cardiology,Hypertension,1298.79,2026-02-13
PT-1181,Jeffrey Cook,642-77-6471,Oncology,Fracture,14345.15,2026-08-22
PT-1182,Cody Castro,008-86-7820,Radiology,Migraine,6983.09,2026-03-09
PT-1183,Spencer Wagner,391-94-9045,Radiology,Fracture,7263.04,2026-04-07
PT-1184,Jennifer Washington,672-53-9999,Oncology,Fracture,6942.35,2026-08-22
PT-1185,Melissa Herrera,639-24-0717,Pediatrics,Hypertension,6897.88,2026-04-03
PT-1186,Andrea Scott,223-71-3639,Pediatrics,Migraine,8131.32,2026-08-16
PT-1187,Daniel Krause,377-51-6634,Radiology,Asthma,13809.23,2026-01-07
PT-1188,Peter Kim,183-74-7828,Pediatrics,Fracture,8297.27,2026-08-15
PT-1189,Jennifer Nunez,867-83-0146,Pediatrics,Hypertension,691.37,2026-07-05
PT-1190,Jennifer Salas,148-71-2222,Radiology,Hypertension,8356.98,2026-01-24
PT-1191,Matthew Wolfe,153-24-5808,Oncology,Migraine,8206.19,2026-05-05
PT-1192,Samantha Thompson,281-23-9575,Pediatrics,Migraine,4555.19,2026-08-25
PT-1193,Jennifer Werner,779-47-0411,Pediatrics,Migraine,8868.36,2026-03-19
PT-1194,Stacy Barr,451-41-4350,Pediatrics,Asthma,10914.78,2026-08-15
PT-1195,Ariel Miles,210-46-4519,Radiology,Asthma,6615.16,2026-09-08
PT-1196,Michael Flores,107-85-4036,Pediatrics,Asthma,501.34,2026-02-24
PT-1197,Caleb Park,771-90-9289,Oncology,Fracture,5092.21,2026-01-29
PT-1198,Marcus Reed,590-76-9939,Oncology,Migraine,10800.84,2026-02-08
PT-1199,Michael Mitchell,837-58-3509,Cardiology,Hypertension,3342.8,2026-08-10
PT-1200,Eric Harmon,339-26-5354,Oncology,Type 2 Diabetes,6122.77,2026-08-13
PT-1201,Dawn Willis,247-77-7582,Oncology,Asthma,14366.87,2026-04-14
PT-1202,Hector Carlson,858-12-3334,Oncology,Fracture,13025.06,2026-05-18
PT-1203,Matthew Merritt,162-17-8061,Radiology,Type 2 Diabetes,14786.37,2026-08-03
PT-1204,Chelsea Sharp,253-37-7466,Cardiology,Hypertension,934.3,2026-08-12
PT-1205,Alyssa Richards,055-14-9982,Oncology,Type 2 Diabetes,12016.52,2026-06-16
PT-1206,Sandra Hobbs,270-95-5189,Cardiology,Type 2 Diabetes,2471.75,2026-09-06
PT-1207,Karen Johnson,703-66-2528,Radiology,Asthma,10280.83,2026-02-09
PT-1208,Nancy Ryan,206-23-6661,Cardiology,Asthma,10180.37,2026-08-06
PT-1209,Alexis Collins,089-24-0144,Cardiology,Fracture,13766.14,2026-06-05
PT-1210,Robert Soto,112-40-6005,Cardiology,Fracture,7764.49,2026-04-26
PT-1211,Elizabeth Bond,758-05-3149,Oncology,Asthma,12027.06,2026-02-09
PT-1212,Terry Galvan,744-57-4085,Cardiology,Type 2 Diabetes,6829.79,2026-03-13
PT-1213,Elizabeth Little,645-37-8974,Pediatrics,Asthma,10363.38,2026-06-10
PT-1214,Sheila Lambert,148-27-1505,Radiology,Type 2 Diabetes,6921.84,2026-07-28
PT-1215,Donald Lynch,740-03-6627,Cardiology,Migraine,14839.05,2026-03-31
PT-1216,Tina Kidd,763-51-0438,Pediatrics,Type 2 Diabetes,5482.77,2026-06-22
PT-1217,Vincent Thomas,005-44-4465,Pediatrics,Migraine,1896.33,2026-09-02
PT-1218,Emily Hill,018-36-8111,Cardiology,Type 2 Diabetes,2617.91,2026-08-21
PT-1219,Jennifer Jackson,135-46-3514,Cardiology,Type 2 Diabetes,8207.59,2026-08-07
PT-1220,Robert Lang,853-99-3526,Cardiology,Type 2 Diabetes,6035.44,2026-06-04
PT-1221,Karen Reed,837-52-8925,Cardiology,Fracture,9154.83,2026-07-01
PT-1222,Charles Robinson,743-09-7927,Radiology,Type 2 Diabetes,6445.75,2026-07-18
PT-1223,Jasmin Clark,009-27-8121,Pediatrics,Asthma,3638.67,2026-07-15
PT-1224,Rebekah Padilla,423-04-4742,Oncology,Type 2 Diabetes,13440.81,2026-07-07
PT-1225,Jamie Lambert,160-20-7750,Radiology,Migraine,13260.5,2026-05-26
PT-1226,Jason Gordon,229-88-3639,Pediatrics,Type 2 Diabetes,9673.04,2026-07-09
PT-1227,Tara Rojas,416-65-6955,Cardiology,Type 2 Diabetes,1378.8,2026-05-17
PT-1228,Kathy Mcknight,055-43-4805,Cardiology,Asthma,9224.84,2026-08-20
PT-1229,Danielle Peters,798-42-2602,Radiology,Migraine,7027.0,2026-04-27
PT-1230,Vincent Murray,781-71-9994,Cardiology,Hypertension,820.87,2026-05-10
PT-1231,Anthony Jackson,288-76-8783,Oncology,Hypertension,1878.32,2026-02-09
PT-1232,Christopher Tran,774-45-2901,Pediatrics,Migraine,8995.62,2026-07-31
PT-1233,Cody Harrison,127-49-9197,Pediatrics,Hypertension,3330.92,2026-03-12
PT-1234,Mark Parker,041-94-8833,Pediatrics,Migraine,5080.1,2026-04-21
PT-1235,Daniel Baker,056-76-4525,Radiology,Asthma,807.69,2026-08-31
PT-1236,Jennifer Dalton,040-20-6205,Oncology,Fracture,11154.24,2026-01-03
PT-1237,Christopher Bradley,391-03-7876,Radiology,Asthma,9235.61,2026-03-30
PT-1238,Molly Schmidt,305-10-1629,Cardiology,Asthma,9492.47,2026-06-25
PT-1239,Sarah Jackson,599-40-5932,Cardiology,Fracture,2300.01,2026-03-16
PT-1240,Kelly Schwartz,124-71-4157,Cardiology,Fracture,1447.88,2026-06-04
PT-1241,Mark Cook,375-04-8683,Cardiology,Migraine,14253.08,2026-06-06
PT-1242,Stephen James,126-55-4671,Pediatrics,Fracture,2528.76,2026-04-26
PT-1243,Laura Coleman,577-41-1505,Radiology,Hypertension,4673.52,2026-03-28
PT-1244,Alvin White,437-24-0077,Radiology,Migraine,6737.53,2026-07-20
PT-1245,Douglas Thomas,023-44-4112,Oncology,Migraine,2612.3,2026-02-07
PT-1246,Adrian Andrews,421-12-8765,Cardiology,Asthma,2284.47,2026-01-23
PT-1247,Michael Williams,252-22-1533,Pediatrics,Hypertension,4525.67,2026-07-10
PT-1248,Kimberly Norman,506-29-0640,Radiology,Type 2 Diabetes,5097.22,2026-06-10
PT-1249,Natalie Roach,850-13-2581,Radiology,Type 2 Diabetes,9291.82,2026-06-12
PT-1250,Gina Mcpherson,446-19-7697,Cardiology,Type 2 Diabetes,630.99,2026-08-05
PT-1251,Ryan Mooney,806-40-2920,Oncology,Asthma,13599.46,2026-02-06
PT-1252,Erin Willis,004-51-0407,Radiology,Asthma,1054.85,2026-03-04
PT-1253,Philip Freeman,264-20-5158,Radiology,Fracture,13131.63,2026-03-13
PT-1254,Daniel Scott,608-34-4469,Pediatrics,Asthma,12528.03,2026-04-13
PT-1255,Jacob Sanford,285-04-8177,Radiology,Fracture,5732.93,2026-03-07
PT-1256,Crystal Clark,798-17-2542,Radiology,Hypertension,1079.96,2026-04-10
PT-1257,William Hicks,329-53-6574,Radiology,Migraine,3863.09,2026-06-05
PT-1258,Dana Coleman,378-46-8868,Pediatrics,Fracture,2120.0,2026-05-14
PT-1259,Chelsea Lopez,179-83-3981,Pediatrics,Asthma,13982.93,2026-09-02
PT-1260,Shelly Carter,198-61-3199,Pediatrics,Migraine,13157.89,2026-06-04
PT-1261,Christian Moody,284-87-2049,Pediatrics,Migraine,14776.88,2026-07-14
PT-1262,Eric Hanson,252-15-0808,Cardiology,Fracture,8063.56,2026-08-06
PT-1263,Alexander Lee,558-36-6275,Radiology,Asthma,6817.35,2026-06-02
PT-1264,Jeffrey Leblanc,019-14-5887,Oncology,Asthma,4134.0,2026-03-02
PT-1265,Denise Nolan,719-43-4451,Radiology,Hypertension,7191.71,2026-06-02
PT-1266,Brian Ramirez,209-15-0024,Cardiology,Hypertension,1022.45,2026-08-02
PT-1267,Mark Lynch,527-31-1571,Radiology,Hypertension,6773.76,2026-07-28
PT-1268,Gregory Fields,760-33-7454,Oncology,Hypertension,6149.65,2026-03-11
PT-1269,Miranda Brown,898-12-5000,Oncology,Asthma,14595.71,2026-04-09
PT-1270,Alvin Gray,814-43-9623,Cardiology,Type 2 Diabetes,2399.46,2026-09-14
PT-1271,Jaime Taylor,789-82-8683,Radiology,Type 2 Diabetes,7153.69,2026-05-01
PT-1272,Madison Nelson,239-03-9187,Cardiology,Type 2 Diabetes,1240.3,2026-06-14
PT-1273,Elizabeth Mcmahon,544-62-8598,Cardiology,Asthma,13482.21,2026-04-12
PT-1274,Howard Sharp,795-31-4283,Pediatrics,Asthma,11723.57,2026-07-18
PT-1275,Trevor Rodriguez,865-99-8780,Cardiology,Type 2 Diabetes,12967.1,2026-01-07
PT-1276,Paige Robbins,118-82-4897,Radiology,Type 2 Diabetes,4690.28,2026-02-28
PT-1277,Brenda Robinson,592-37-9103,Oncology,Migraine,14054.86,2026-05-29
PT-1278,Cheyenne Webb,055-27-1845,Pediatrics,Asthma,8413.16,2026-04-13
PT-1279,Kathryn Harris,617-63-4181,Oncology,Hypertension,5043.32,2026-08-13
PT-1280,Brian Reid,841-89-2621,Cardiology,Fracture,9318.14,2026-03-08
PT-1281,Kimberly Rodriguez,706-38-2837,Pediatrics,Asthma,11274.03,2026-04-05
PT-1282,Tammy Peck,634-86-5225,Cardiology,Type 2 Diabetes,13055.4,2026-06-12
PT-1283,Mrs. Deborah Thomas,791-06-1610,Oncology,Hypertension,1057.77,2026-08-21
PT-1284,Allison Krueger,493-90-0570,Pediatrics,Hypertension,5139.27,2026-02-22
PT-1285,Joseph Chen,298-73-6319,Cardiology,Hypertension,10589.89,2026-04-14
PT-1286,Eric Stone,606-23-4046,Cardiology,Fracture,982.23,2026-09-05
PT-1287,Joshua Rose,664-34-7123,Oncology,Asthma,803.7,2026-08-20
PT-1288,Adam Mendez,832-25-0577,Oncology,Type 2 Diabetes,5662.26,2026-08-30
PT-1289,Jennifer Hoffman,885-97-3091,Cardiology,Hypertension,4868.56,2026-04-06
PT-1290,Sandra Porter,439-56-9095,Radiology,Asthma,4301.02,2026-08-03
PT-1291,Courtney Robinson,800-29-9243,Oncology,Asthma,10416.64,2026-05-14
PT-1292,Lisa Williams,558-75-5562,Pediatrics,Fracture,1140.93,2026-07-28
PT-1293,Gregory Dodson,073-70-1012,Cardiology,Type 2 Diabetes,14847.27,2026-06-06
PT-1294,Sarah Barnes,828-78-6347,Pediatrics,Type 2 Diabetes,14050.87,2026-03-19
PT-1295,Michael Lyons,827-02-3699,Pediatrics,Migraine,4242.94,2026-06-27
PT-1296,Luke Jackson,736-61-7338,Cardiology,Fracture,3843.78,2026-01-27
PT-1297,James Russell,509-98-5883,Cardiology,Migraine,10067.91,2026-08-06
PT-1298,Michael Rios,249-67-4083,Oncology,Asthma,7515.18,2026-04-13
PT-1299,Amy Gonzales,355-86-9535,Cardiology,Migraine,4192.88,2026-03-09
PT-1300,Kimberly Ingram,308-46-6517,Oncology,Asthma,7584.2,2026-05-01
PT-1301,Adam Morris,594-63-3028,Oncology,Migraine,521.73,2026-07-05
PT-1302,Tim Waters,551-42-2673,Cardiology,Type 2 Diabetes,5491.53,2026-08-07
PT-1303,Albert Bolton,016-01-1965,Oncology,Type 2 Diabetes,3811.86,2026-09-05
PT-1304,Joshua Wolfe,442-54-3198,Pediatrics,Hypertension,369.87,2026-01-09
